"id","user_username","alamat","kota","nama_penerima","total","voucher_id","grand_total","harga_jne","cara_jne","kode_jne","tipe_pembayaran","kode_pembayaran","tanggal_create","tanggal_update","status"
"44","amorris17","05701 Gateway Terrace","Arizona","Ashley Morris","620003","1","627231","11341","JNE CTC","BA75 5101 5981 3016 5788","kartu kredit","USD","2014-12-02 00:00:00","2014-10-16 06:06:41","0"
"45","droberts18","82683 Amoth Terrace","Missouri","Diane Roberts","847586","4","492493","7038","JNE CTC","FR80 0179 8448 632F E3HG JAVX D76","transfer","USD","2014-09-09 00:00:00","2014-07-17 08:07:11","1"
"46","fbanks19","67 Monument Center","Pennsylvania","Fred Banks","946145","3","155022","62128","JNE CTC","FR75 3723 6237 858R PUHL PEHU 896","transfer","USD","2011-04-17 00:00:00","2015-06-08 11:26:04","0"
"47","jsims1a","4342 Pleasure Plaza","Texas","Joyce Sims","181718","2","923670","26086","JNE OKE","IL36 4995 0590 0721 4737 011","debit","USD","2010-03-11 00:00:00","2014-07-18 18:47:24","1"
"48","pjones1b","76 Kedzie Drive","Utah","Phillip Jones","884871","4","822193","39834","JNE OKE","IT82 B892 0013 102S A5AF Z6YX V63","transfer","USD","2013-12-04 00:00:00","2012-06-29 05:28:21","1"
"49","dmeyer1c","60 Hermina Crossing","New York","Doris Meyer","390016","2","508874","24284","JNE REG","AZ37 GJSL VGBK VNWP EJEV K824 CGDD","paypal","USD","2010-08-31 00:00:00","2011-10-17 15:17:36","0"
"50","jwagner1d","6969 Green Ridge Point","Iowa","Joe Wagner","143769","4","168044","22111","JNE CTCSPS","NL93 ARGP 3653 2345 45","transfer","USD","2012-11-21 00:00:00","2011-07-08 04:49:49","1"
"51","dsims1e","1 Lindbergh Drive","Texas","Denise Sims","246253","3","491790","39388","JNE CTC","SE49 0713 6331 7409 0838 6572","cod","USD","2011-01-14 00:00:00","2013-05-18 21:03:18","0"
"52","jshaw1f","1 Sugar Hill","Texas","Jane Shaw","735365","4","925396","72846","JNE CTC","NO91 5693 9466 621","cod","USD","2013-12-15 00:00:00","2015-10-06 15:49:33","1"
"53","lsanchez1g","1 Golden Leaf Lane","California","Larry Sanchez","920545","3","162554","68993","JNE REG","FR49 9309 8373 48JO WB3C MM3M D44","kartu kredit","USD","2012-01-19 00:00:00","2010-01-09 13:26:50","0"
"54","asmith1h","91 Johnson Plaza","Ohio","Amanda Smith","170547","1","469170","84774","JNE OKE","IT07 O941 5504 008G TRGB 4YLK LPR","cod","USD","2014-02-18 00:00:00","2011-07-31 10:38:50","1"
"55","kfreeman1i","5003 Bayside Alley","Pennsylvania","Kathleen Freeman","891386","1","813464","81511","JNE OKE","SA21 71W2 RX9L E7BS ERRI DF1Z","kartu kredit","USD","2015-05-07 00:00:00","2014-05-05 05:37:34","1"
"56","dmorgan1j","45 Hoffman Court","Missouri","David Morgan","436104","3","291983","85758","JNE CTC","FR08 5582 2411 72PU 0P93 HHSE H32","kartu kredit","USD","2011-06-16 00:00:00","2010-12-24 10:20:17","0"
"57","crichardson1k","4329 Darwin Alley","Alabama","Chris Richardson","189891","1","415088","88035","JNE CTC","PS03 KDLF D65H P3YB CC2F PMTZ IMWK S","cod","USD","2015-07-28 00:00:00","2010-05-01 12:04:35","1"
"58","dwatkins1l","52 Morrow Drive","District of Columbia","Dorothy Watkins","506738","1","730573","59090","JNE OKE","SM54 F222 7129 626Y XFJJ GYCJ GNP","transfer","USD","2010-03-03 00:00:00","2014-03-05 12:28:39","0"
"59","ewilliamson1m","282 Dayton Parkway","Indiana","Edward Williamson","409308","2","777732","17186","JNE OKE","FR83 4822 4225 38AG HRHK MCSH Y94","debit","USD","2010-02-28 00:00:00","2011-11-22 07:27:28","1"
"60","idaniels1n","130 Clyde Gallagher Park","Ohio","Irene Daniels","399587","3","436282","33038","JNE OKE","FR57 7482 7357 78WD UJQL MCCM Z28","cod","USD","2015-08-26 00:00:00","2013-11-18 03:40:44","1"
"61","gcollins1o","979 Sycamore Crossing","Washington","Gloria Collins","988506","1","836475","13166","JNE CTC","GI91 UDIL ATMY CII4 BTFR X3J","paypal","USD","2014-04-22 00:00:00","2010-09-23 22:10:08","0"
"62","rthompson1p","266 Karstens Avenue","New Mexico","Raymond Thompson","734718","1","755535","97474","JNE CTCSPS","ME68 2513 3489 1275 7177 58","paypal","USD","2011-05-15 00:00:00","2015-03-13 18:09:13","0"
"63","jflores1q","3 Hoffman Avenue","Arizona","James Flores","427371","4","209898","77384","JNE CTCSPS","MC67 7883 3689 62JD NJ68 YFWL 923","paypal","USD","2014-06-08 00:00:00","2012-02-07 03:09:13","1"
"64","lelliott1r","7 Bartelt Circle","Maryland","Lawrence Elliott","376697","4","573329","69370","JNE CTCSPS","SK84 0515 6820 6533 3765 8763","cod","USD","2010-11-17 00:00:00","2010-02-24 07:15:53","1"
"65","rbarnes1s","98503 Shopko Center","Indiana","Rachel Barnes","780403","3","508724","57771","JNE OKE","SE73 8168 1469 2270 6293 2486","transfer","USD","2010-08-10 00:00:00","2015-07-15 13:38:15","1"
"66","mchapman1t","873 Nobel Lane","Oklahoma","Mary Chapman","401200","4","915087","39960","JNE CTCSPS","FR73 1167 9450 89Z5 J08N IUNT F69","transfer","USD","2012-05-29 00:00:00","2010-03-11 14:54:55","0"
"67","hbrooks1u","967 Hudson Place","New York","Harry Brooks","536202","3","970625","49711","JNE REG","FR22 6020 4801 592M 5MFE T5UX J85","kartu kredit","USD","2014-07-26 00:00:00","2010-11-27 06:16:56","1"
"68","hlarson1v","86 Florence Hill","Nebraska","Harold Larson","733128","3","535083","33196","JNE CTC","CY98 8008 4262 FJJY VDLC AITS BAQH","paypal","USD","2012-09-11 00:00:00","2010-09-26 11:02:32","0"
"69","dstone1w","81 Mallard Avenue","Texas","Douglas Stone","870252","2","335335","72833","JNE REG","FR94 9262 1019 04LI 8TDH PKVI 691","kartu kredit","USD","2010-03-22 00:00:00","2011-04-11 14:38:26","0"
"70","breid1x","95 Melrose Terrace","California","Brenda Reid","509858","2","309759","24794","JNE OKE","FI76 4938 3653 5890 56","debit","USD","2011-10-16 00:00:00","2012-10-28 23:47:18","0"
"71","sparker1y","71198 Melvin Avenue","Georgia","Stephen Parker","900130","1","221542","83883","JNE CTC","BG52 VMVI 6967 05MI YH6B 8G","transfer","USD","2012-11-25 00:00:00","2014-12-26 15:16:38","0"
"72","pgray1z","4416 Talmadge Avenue","Florida","Patricia Gray","811085","2","939349","31643","JNE OKE","NO04 8626 4081 678","transfer","USD","2011-11-09 00:00:00","2012-09-08 20:14:11","1"
"73","abailey20","45372 Gale Circle","Kentucky","Anthony Bailey","592452","3","969848","17565","JNE CTC","BG33 WSIH 4953 890F U99N IW","kartu kredit","USD","2015-07-17 00:00:00","2011-03-27 01:01:41","1"
"74","bgilbert21","7 Amoth Way","New York","Betty Gilbert","974707","3","228174","18445","JNE OKE","LI23 0670 4WBY N1M9 AXI0 4","cod","USD","2015-01-14 00:00:00","2011-05-15 02:17:41","1"
"75","rgeorge22","9508 Trailsway Parkway","Louisiana","Robin George","863486","2","871906","30934","JNE CTC","LU51 724I AJNA TT0G 9RVS","cod","USD","2013-05-28 00:00:00","2013-12-05 10:28:22","1"
"76","tbanks23","01 Main Point","Alabama","Tammy Banks","452834","3","658209","34716","JNE CTCSPS","FR39 6294 0218 612I GM5C XTTI T01","kartu kredit","USD","2012-08-29 00:00:00","2010-12-31 14:06:23","0"
"77","jellis24","809 Tomscot Plaza","Oregon","Joshua Ellis","307085","4","734808","69729","JNE CTC","NO35 4074 0083 315","kartu kredit","USD","2012-09-06 00:00:00","2011-12-28 14:31:30","1"
"78","jroberts25","5172 Manley Way","California","Juan Roberts","967902","2","349929","40252","JNE CTC","FR07 7197 9536 94M2 ZCRY BEUB N92","transfer","USD","2015-05-26 00:00:00","2010-05-17 13:13:17","1"
"79","twheeler26","444 Bonner Trail","Florida","Thomas Wheeler","648964","4","700207","92463","JNE CTCSPS","GI45 FYAL TOY3 VPM5 8QH8 CJY","kartu kredit","USD","2015-05-25 00:00:00","2014-10-12 11:09:32","0"
"80","nruiz27","0921 Chinook Crossing","Minnesota","Nicholas Ruiz","161518","2","498048","16672","JNE CTCSPS","MD38 2VEO 1UDI 39VX G2DV AZZC","debit","USD","2014-05-27 00:00:00","2012-05-25 22:35:20","0"
"81","slynch28","7257 Fremont Circle","Florida","Sandra Lynch","525394","4","482498","8755","JNE CTCSPS","SA28 55TK 3FWQ KBER DS6Y JO4I","paypal","USD","2014-12-18 00:00:00","2012-06-07 15:52:03","1"
"82","rbell29","7911 Village Green Court","Minnesota","Ralph Bell","963400","1","868327","96400","JNE REG","AE46 9104 6992 8846 9113 766","kartu kredit","USD","2014-01-16 00:00:00","2014-12-03 21:25:31","1"
"83","dramirez2a","65 Johnson Circle","Florida","Debra Ramirez","238698","3","585424","72079","JNE CTC","CZ18 0712 2419 0491 2146 7294","debit","USD","2011-04-16 00:00:00","2014-03-26 18:47:38","0"
"84","jsanchez2b","9700 Del Sol Place","New York","Julia Sanchez","171494","3","505468","18995","JNE CTCSPS","FR43 2969 6677 19PY EDUG 84UZ P88","kartu kredit","USD","2013-09-13 00:00:00","2010-04-22 18:01:28","1"
"85","mandrews2c","1918 Burning Wood Junction","Georgia","Margaret Andrews","796378","4","670777","83006","JNE CTCSPS","GE30 YO63 3891 0696 2540 29","kartu kredit","USD","2012-08-25 00:00:00","2013-06-30 00:21:44","1"
"86","maustin2d","99 Twin Pines Place","Washington","Marilyn Austin","244175","3","449226","17772","JNE OKE","FO24 3064 9028 8852 78","cod","USD","2013-08-28 00:00:00","2015-10-21 10:16:12","1"
"87","awheeler2e","2235 Gulseth Crossing","Arkansas","Angela Wheeler","804196","4","925209","64917","JNE REG","HU81 7069 8525 1874 3327 8093 8248","transfer","USD","2015-01-25 00:00:00","2012-05-14 11:41:53","1"
"88","tgardner2f","7523 Morningstar Point","Maryland","Todd Gardner","970536","4","416502","62555","JNE OKE","TR35 6457 9ZHS YKLL UAFH A2QB BH","kartu kredit","USD","2011-09-20 00:00:00","2011-01-17 16:30:37","0"
"89","jnichols2g","6 Waywood Trail","North Carolina","Jonathan Nichols","961277","1","870244","92483","JNE CTC","DK19 4370 4209 4103 79","debit","USD","2015-05-28 00:00:00","2014-09-09 19:59:32","1"
"90","kpeterson2h","6 Monica Terrace","California","Kimberly Peterson","112349","3","691918","61754","JNE REG","NO18 9091 9456 552","cod","USD","2014-03-06 00:00:00","2012-08-30 04:25:06","1"
"91","drose2i","9103 Boyd Street","Texas","Donald Rose","806726","4","670770","71801","JNE CTC","DK12 1281 2676 0646 16","kartu kredit","USD","2010-05-07 00:00:00","2010-02-27 01:50:41","0"
"92","cwalker2j","49828 Briar Crest Junction","Minnesota","Charles Walker","735677","1","156728","30745","JNE REG","FR98 4818 8326 5762 22BY LH0I K82","cod","USD","2014-09-02 00:00:00","2014-05-26 22:22:50","0"
"93","gcooper2k","5234 John Wall Plaza","Alabama","George Cooper","183134","1","598212","29859","JNE CTCSPS","FR53 0351 0471 134J D5CR NX0E X20","cod","USD","2013-09-10 00:00:00","2013-01-19 19:47:44","0"
"94","rburns2l","248 Cambridge Crossing","Washington","Ronald Burns","323003","2","288377","42716","JNE CTCSPS","AD70 6818 3947 H1PA 6Z6S C14U","paypal","USD","2012-09-02 00:00:00","2014-06-17 03:09:48","1"
"95","istewart2m","7026 Basil Crossing","California","Irene Stewart","707288","2","355870","47534","JNE OKE","DK92 5962 6149 0416 09","paypal","USD","2014-06-11 00:00:00","2014-12-02 21:14:05","1"
"96","bcastillo2n","4168 Pearson Trail","California","Brian Castillo","330760","3","352390","48650","JNE CTC","IE13 KNOM 8936 5104 7312 48","debit","USD","2014-03-13 00:00:00","2011-06-26 08:14:54","0"
"97","ndean2o","8595 Summerview Drive","Pennsylvania","Nicole Dean","622304","1","531819","7464","JNE CTCSPS","GE05 JW96 3085 6109 9068 10","kartu kredit","USD","2012-05-07 00:00:00","2010-10-13 12:22:12","1"
"98","cmyers2p","19748 Chive Alley","Washington","Christina Myers","634785","1","676291","96631","JNE CTC","FR95 0526 3842 08TJ UDWT VIRD L39","paypal","USD","2013-11-13 00:00:00","2011-07-24 03:57:00","0"
"99","kpayne2q","69 Parkside Alley","Maryland","Kevin Payne","668567","1","764730","44089","JNE REG","BR78 3409 2343 2921 5025 0370 642Q K","kartu kredit","USD","2013-01-01 00:00:00","2014-08-28 23:31:19","0"
"100","kwilliamson2r","581 Quincy Center","New York","Kevin Williamson","165014","1","719489","25593","JNE OKE","SK35 4867 9025 3395 3842 9738","transfer","USD","2012-11-26 00:00:00","2010-02-12 22:24:01","0"
"101","lhall2s","538 Lindbergh Plaza","West Virginia","Louise Hall","592477","2","347395","39521","JNE OKE","RO45 KLWS Z0DV OMPB 1PA3 7BDM","cod","USD","2015-09-20 00:00:00","2012-02-07 08:51:43","1"
"102","jgardner2t","29 Menomonie Drive","Georgia","Jonathan Gardner","275094","4","351505","94918","JNE CTC","FR60 0055 0249 70OU FBAA N0BP K00","kartu kredit","USD","2011-12-07 00:00:00","2012-01-17 22:03:34","0"
"103","dburke2u","316 Westend Road","District of Columbia","Dorothy Burke","204866","3","395384","51764","JNE CTC","KW64 FRFM 19F7 MQN2 LRM3 IXHQ GCBV GR","kartu kredit","USD","2013-12-19 00:00:00","2013-06-22 15:53:20","1"
"104","thanson2v","843 Sunbrook Center","Kansas","Tammy Hanson","901898","3","364489","42375","JNE CTC","NL72 XXOC 6057 0314 47","kartu kredit","USD","2012-07-22 00:00:00","2014-02-27 17:23:35","1"
"105","bperry2w","3587 Pine View Park","Georgia","Benjamin Perry","915871","2","313875","94722","JNE REG","MR27 5362 8284 6534 8271 3868 884","paypal","USD","2010-01-29 00:00:00","2012-02-01 10:33:31","0"
"106","rmitchell2x","59 Fairview Drive","California","Robert Mitchell","585457","4","918600","22417","JNE OKE","AZ46 AZAM SEMY BHH0 YJHR LAWH OY5W","kartu kredit","USD","2010-07-01 00:00:00","2012-03-03 22:29:06","1"
"107","pmccoy2y","3 Northwestern Pass","California","Patricia Mccoy","109629","3","951135","64310","JNE OKE","DE80 7156 0913 8863 4846 73","transfer","USD","2014-02-07 00:00:00","2011-11-10 07:14:50","0"
"108","dmorrison2z","06 South Plaza","Illinois","Diane Morrison","671170","3","301135","62708","JNE OKE","FI68 9522 2888 5555 71","cod","USD","2011-06-14 00:00:00","2010-08-21 13:36:32","0"
"109","rbishop30","14 Upham Crossing","Michigan","Randy Bishop","404552","3","771886","78910","JNE CTC","FR66 4323 6525 33BH 5ZNM XZM7 Z60","kartu kredit","USD","2010-03-02 00:00:00","2012-10-16 22:02:14","1"
"110","aellis31","6 Delladonna Circle","Kentucky","Anna Ellis","766594","1","268858","73093","JNE CTC","MD53 SIWH EPLM 0BQP BXAI BENY","cod","USD","2015-02-05 00:00:00","2014-11-30 14:43:29","0"
"111","tlopez32","4 Montana Plaza","District of Columbia","Thomas Lopez","977521","4","348181","99320","JNE CTC","AZ14 JJYS FCBQ HFXF ERFQ MLBK YR2C","cod","USD","2015-03-31 00:00:00","2012-02-20 23:13:39","0"
"112","dperry33","5227 Morningstar Center","California","Dorothy Perry","547377","4","171357","36177","JNE CTCSPS","GR14 8578 613R ZHEE 7IZ0 KZU5 FPP","kartu kredit","USD","2011-05-17 00:00:00","2010-06-11 15:05:48","1"
"113","mporter34","554 Spaight Park","Nevada","Martin Porter","631931","1","558076","17836","JNE OKE","SM05 Z626 1797 884T LTQ8 RDYH 81J","transfer","USD","2015-04-04 00:00:00","2015-11-24 13:10:28","0"
"114","fmartin35","732 Charing Cross Terrace","Georgia","Frances Martin","686434","1","358071","94724","JNE CTC","BE68 8818 9933 0611","transfer","USD","2010-06-16 00:00:00","2010-05-05 23:23:11","0"
"115","mhunter36","39485 Oakridge Plaza","Florida","Maria Hunter","834520","3","234669","77360","JNE OKE","AD16 4364 0537 L7XS 1RPB 4YON","kartu kredit","USD","2012-03-13 00:00:00","2011-09-22 04:04:36","0"
"116","mspencer37","8 Logan Circle","California","Margaret Spencer","521544","2","438554","17252","JNE OKE","BR86 8179 0599 8442 3836 7375 817G H","debit","USD","2013-10-13 00:00:00","2013-01-13 07:59:03","1"
"117","dlawrence38","10108 Continental Crossing","District of Columbia","Doris Lawrence","890110","4","431024","91927","JNE CTCSPS","BE34 7472 1575 3499","cod","USD","2012-06-16 00:00:00","2013-09-21 03:18:17","1"
"118","jhunter39","120 Portage Parkway","North Carolina","Jessica Hunter","960959","3","503233","13091","JNE CTC","LB82 0630 0YJ1 21DK JCKN M8ZV FG9C","kartu kredit","USD","2010-03-23 00:00:00","2012-04-02 10:19:36","0"
"119","mrichardson3a","06027 Anhalt Terrace","New York","Mary Richardson","130225","2","152531","29038","JNE CTC","FR75 5787 5219 5962 E2PE ZPNR B28","kartu kredit","USD","2013-03-19 00:00:00","2015-03-20 15:30:02","0"
"120","ereyes3b","74143 Summit Street","Nevada","Ernest Reyes","894617","2","841292","88133","JNE CTC","GE81 ES56 9244 6063 3990 59","transfer","USD","2010-12-05 00:00:00","2011-03-03 17:15:09","1"
"121","rmatthews3c","818 Marquette Avenue","New York","Ruby Matthews","146271","2","396762","98600","JNE CTC","FR41 6344 7045 51BJ GFQM SP0Y T52","paypal","USD","2014-07-03 00:00:00","2015-11-21 12:06:47","0"
"122","pwoods3d","773 Elka Lane","Indiana","Peter Woods","355369","2","701828","68687","JNE CTCSPS","FR79 3408 1517 88AS IV6N I4AC I47","debit","USD","2013-11-01 00:00:00","2013-08-12 07:16:07","1"
"123","cgreen3e","36 Tomscot Road","Florida","Christina Green","141879","2","356144","64084","JNE OKE","DO20 WTA9 4795 2319 6497 7455 0773","kartu kredit","USD","2010-02-10 00:00:00","2011-11-28 14:24:34","0"
"124","edixon3f","7 Jay Point","Florida","Evelyn Dixon","330126","1","401810","81525","JNE REG","DO94 ABEC 6237 5515 4398 1725 9836","kartu kredit","USD","2015-10-24 00:00:00","2012-09-29 23:30:22","1"
"125","iross3g","65 Red Cloud Road","Colorado","Irene Ross","419650","2","189576","85341","JNE OKE","AT89 7582 8279 3651 7123","debit","USD","2013-01-29 00:00:00","2010-04-15 16:59:29","0"
